Category,Outbreak,Location,Lat,Long,Date,Cases,Fatalities,Impact Scale,Source Citation,Source
Measles,Measles,U.S. (Texas),29.77518,-95.31025,4/2013,1,0,Isl,"Christian Carol. ""County's first reported case of measles since 2011 seen in 1-year-old."" Houston Chronicle April 13 2013.",http://www.chron.com/news/houston-texas/houston/article/County-s-1st-reported-case-of-measlessince-4432426.php
Measles,Measles,U.S. (Utah Cache County),41.756,-111.76147,7/2011,6,0,Isl,"Preusz Jared. ""6 cases of measles confirmed in Cache County."" FOX 13 July 11 2011.",http://www.fox13now.com/news/local/kstu-utah-measles-6-cases-of-measles-confirmed-in-cache-county-2011071102777089.story
Measles,Measles,U.S. (Washington Cowlitz County),46.1746472,-122.7746902,11/2012,1,0,Isl,"Leslie Slape ""Measles case identified at Woodland Primary School"" The Daily News November 1 2012.",http://tdn.com/news/local/measles-case-identified-at-woodland-primary-school/article_30b89f9a-2489-11e2-8370-0019bb2963f4.html
Measles,Measles,U.S. (Washington King County),47.56541,-122.00357,1/2013,2,0,Isl,"Gustafson Jeanne ""Klahanie Measles Case Reported"" Sammamish-Issaquah Patch January 30 2012.",http://sammamish.patch.com/articles/klahanie-measles-case-reported
Measles,Measles,U.S. (Washington Seattle),47.60621,-122.33207,7/2013,2,0,Isl,"Kirotv.com. ""Seattle officals' warning about local measles cases."" July 17 2013.",http://www.kirotv.com/news/news/seattle-officals-warning-aboud-local-measles-cases/nYtXt/
Measles,Measles,U.S. (Washington),47.54803,-121.9836,8/2013,2,0,Isl,"Snoqualmie Valley Record. ""Health officials announce public exposures to new Eastside measles case"" September 11 2013.",http://www.valleyrecord.com/community/223334261.html
Measles,Measles,Vietnam,14.058324,108.277199,1/2009,1,0,Isl,"3 News ""Measles warning issued"" February 7 2009.",http://www.3news.co.nz/Measles-warning-issued/tabid/420/articleID/90111/Default.aspx
Measles,Measles,Zimbabwe,-19.06163,29.15308,1/2008-12/2008,2,0,Isl,"William j. Moss Diane E. Griffin. ""Measles."" The Lancet.January 14 2012",http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(10)62352-5/fulltext
Measles,Measles,Estonia,58.59527,25.01361,9/2011-12/2012,3,0,Isl,Measles and rubella monitoring Surveillance Report October 2012.,http://www.ecdc.europa.eu/en/publications/Publications/measles-rubella-monitoring-oct-2012.pdf
Measles ,Measles,Australia (Queensland),-26.6122,150.78,10/2013,12,0,Clst,"The Queensland Times. ""Doctor confirms a 12th case of measles in city"" October 23 2013. ",http://www.qt.com.au/news/doctor-confirms-a-12th-case-of-measles-in-city/2060391/
Mumps,Mumps,Canada (Ontario),51.253775,-85.323214,7/2011-8/2011,11,0,2nd,"NCCID. ""Outbreak of mumps in Toronto."" National Collaborating Centre for Infectious Diseases August 11 2011.",http://www.nccid.ca/news/outbreak-of-mumps-in-toronto/71
Mumps,Mumps,U.K. (London),51.500152,-0.126236,8/2011,4,0,2nd,"BBC News ""Cases of mumps soaring across UK."" May 13 2005.",http://news.bbc.co.uk/2/hi/health/4539887.stm
Mumps,Mumps,U.S. (Boston Massachusetts),42.358431,-71.059773,4/2009,9,0,2nd,"Kotz Deborah. ""New cases add to measles reach."" Boston.com May 26 2009.",http://articles.boston.com/2011-05-26/lifestyle/29586750_1_measles-cases-red-watery-eyes-new-cases
Mumps,Mumps,U.S. (Massachusetts),42.407211,-71.382437,9/2009,3,0,2nd,"Dwyer Bob. ""Northeastern University issues public health update - Mumps outbreak."" Mass LPA September 16 2009.",http://www.masslpa.org/content/northeastern-university-issues-public-health-update-mumps-outbreak
Mumps,Mumps,Australia,-31.953,115.85747,12/2012-3/2013,30,0,Clst,"O'Leary Cathy. ""Warning on mumps outbreak."" The West Australian. March 26 2013.",http://au.news.yahoo.com/thewest/a/-/breaking/16443436/warning-on-mumps-outbreak/
Mumps,Mumps,Australia (New South Wales),-31.25322,146.9211,5/2013,15,0,Clst,"Walcha News. ""Warning on NSW mumps outbreak."" June 13 2013.",http://www.walchanewsonline.com.au/story/1571050/warning-on-nsw-mumps-outbreak/?cs24
Mumps,Mumps,Canada (Quebec),51.9399642,-73.549136,6/2009,20,0,Clst,"MMWR. ""Mumps Outbreak --- New York New Jersey Quebec 2009."" Center for Disease Control and Prevention November 12 2009.",http://www.cdc.gov/mmwr/preview/mmwrhtml/mm58d1112a1.htm
Mumps,Mumps,Canada (Whistler),50.116168,-122.959423,4/2011,15,0,Clst,"News 1130 ""An outbreak of mumps in Whistler"" April 14 2011.",http://www.news1130.com/news/local/article/212600--an-outbreak-of-mumps-in-whistler
Mumps,Mumps,U.K. (Anglesey),53.26928,-4.321285,1/2009,23,0,Clst,"Hart Judy . ""Mumps outbreak on the island of Anglesey North Wales December 2008-January 2009."" Eurosurveillance 14 no. 5 (2009).",http://www.eurosurveillance.org/ViewArticle.aspx?ArticleId19109
Mumps,Mumps,U.K. (Cumbria),54.577232,-2.797483,6/2009,12,0,Clst,"Times & Star ""Mumps outbreak in Cumbria"" June 29 2009.",http://www.timesandstar.co.uk/home/mumps_outbreak_in_cumbria?referrerPath2.874/home
