HD93083, Antlia,  8.33, 91, K3V, 0.725, 0.851, 4826, 1
HD93385, Vela,  7.49, 138, G2V, 0.998, 1.010, 5779, 2
OGLE-TR-132, Carina,  16.21, 5169, K1V, 1.257, 1.338, 6279, 1
OGLE-TR-113, Carina,  16.08, 5612, G6V, 0.778, 0.774, 4205, 1
OGLE-TR-111, Carina,  16.96, 4942, K2V, 0.821, 0.831, 4936, 1
BD-10°3166, Crater,  10.00, 218, G4V, 0.987, 1.708, 5400, 1
GJ3634, Hydra,  11.95, 65, M2.5V, 0.450, 0.427, 3638, 1
HD95089, Leo,  7.95, 454, K0D, 1.580, 4.937, 5002, 1
47UrsaeMajoris, UrsaMajor,  5.10, 46, G0V, 1.029, 1.241, 5892, 3
WASP-34, Crater,  10.28, 390, G5V, 1.012, 0.932, 5668, 1
HD96063, Leo,  8.37, 515, K0III, 1.023, 4.536, 5148, 1
HD96167, Crater,  8.08, 283, G5D, 1.306, 1.858, 5771, 1
HD96127, UrsaMajor,  7.43, 1579, K2III, 0.911, 34.677, 4152, 1
HD96700, Hydra,  6.50, 84, G0V, 1.088, 1.091, 5965, 2
OGLE2-TR-L9, Carina,  14.36, 6200, F3V, 1.517, 1.530, 6933, 1
OGLE-TR-182, Carina,  16.84, 12712, G0V, 1.175, 1.124, 5984, 1
HD97658, Leo,  7.76, 69, K1V, 0.855, 0.732, 5170, 1
DPLeonis, Leo,  17.46, 1305, DA+M5V, 0.688, 0.136, 16487, 1
WASP-31, Vulpecula,  11.66, 1403, F9V, 1.160, 1.240, 6233, 1
HD99109, Leo,  8.83, 163, K0V, 0.926, 0.971, 5272, 1
HAT-P-21, UrsaMajor,  11.46, 829, G3V, 0.949, 1.096, 5588, 1
83LeonisB, Leo,  7.57, 59, K2V, 0.777, 0.812, 4875, 2
HD99706, UrsaMajor,  7.81, 420, K0III, 1.721, 5.421, 4932, 1
HD100655, Leo,  6.44, 399, G9III, 2.432, 9.292, 4861, 1
Gliese433, Hydra,  9.79, 29, M1.5V, 0.489, 0.475, 3553, 2
HD100777, Leo,  8.42, 162, K0V, 1.035, 1.032, 5582, 1
HIP57050, UrsaMajor,  11.88, 36, M4V, 0.340, 0.401, 3189, 1
Gliese436, Leo,  10.68, 33, M2.5V, 0.411, 0.419, 3318, 1
HD101930, Centaurus,  8.21, 95, K1V, 0.741, 0.895, 5106, 1
Gliese439, UrsaMajor,  8.96, 85, K5V, 0.727, 0.678, 4641, 3
HD102117, Centaurus,  7.47, 129, G6V, 0.946, 1.270, 5432, 1
HD102195, Virgo,  8.06, 97, G8V, 0.926, 0.835, 5291, 1
HD102272, Virgo,  8.71, 796, K2III, 1.886, 10.076, 4908, 2
HD102365, Centaurus,  4.89, 30, G2V, 0.850, 0.971, 5652, 1
HD102956, UrsaMajor,  7.85, 412, K0III, 1.677, 4.417, 5054, 1
HD103197, Centaurus,  9.41, 173, G3IV, 0.899, 1.320, 5607, 1
HD104067, Corvus,  7.93, 69, K2V, 0.789, 0.813, 4799, 1
HD104985, Camelopardalis,  5.80, 317, G9III, 1.459, 8.863, 6397, 1
WASP-36, Virgo,  12.03, 1372, F8V, 1.183, 1.268, 6311, 1
2M1207, Centaurus,  18.88, 171, M8V, 0.025, 0.148, 2446, 1
HAT-P-38, CanesVenatici,  12.56, 812, G9V, 0.886, 0.923, 5333, 1
HD106515A, Virgo,  7.97, 115, G5IV, 1.048, 1.137, 5624, 1
HD107148, Virgo,  8.03, 167, G5IV, 1.118, 1.257, 5797, 1
HD108147, Crux,  7.00, 124, F9V, 1.272, 1.221, 6067, 1
HD108863, ComaBerenices,  7.89, 454, K0III, 1.847, 5.559, 4956, 1
HD108874, ComaBerenices,  8.74, 204, G5V, 0.987, 1.223, 5407, 2
HD109246, Draco,  8.77, 215, G0V, 1.008, 1.018, 5844, 1
HAT-P-36, CanesVenatici,  12.26, 1033, G5V, 1.022, 1.096, 5583, 1
HD109749, Centaurus,  8.17, 184, K1Vp, 1.188, 0.835, 4944, 1
ChiVirginis, Virgo,  4.66, 294, K2III, 2.174, 20.939, 4445, 1
HWVirginis, Virgo,  10.93, 1604, sdB+MV, 1.032, 1.273, 16550, 1
HD111232, Musca,  7.61, 96, G8V, 0.784, 0.862, 5407, 1
PSRB1257+12, Virgo,  24.31, 980, pulsar, 1.444, 0.000023, 28856, 3
Ross458, Virgo,  9.76, 38, M2Ve, 0.597, 0.681, 3683, 1
WASP-25, Hydra,  11.87, 550, G4V, 0.995, 0.947, 5762, 1
HD113538, Centaurus,  9.10, 52, K9V, 0.698, 0.650, 4685, 2
HD114386, Centaurus,  8.81, 94, K3V, 0.746, 0.760, 4351, 2
HD114762, ComaBerenices,  7.30, 126, F9V, 0.840, 1.240, 5934, 1
HD114783, Virgo,  7.57, 67, K0V, 0.918, 0.783, 5105, 1
HD114729, Centaurus,  6.69, 118, G3V, 0.934, 1.462, 5662, 1
61Virginis, Virgo,  4.74, 28, G5V, 0.954, 0.945, 5531, 3
HD116029, ComaBerenices,  8.04, 402, K1III-IV, 1.581, 4.595, 4951, 1
70Virginis, Virgo,  5.00, 59, G4V, 0.917, 1.968, 5432, 1
HD117207, Centaurus,  7.28, 108, G8IV/V, 1.067, 1.086, 5432, 1
HD117618, Centaurus,  7.18, 124, G2V, 1.051, 1.190, 5861, 1
HD118203, UrsaMajor,  8.07, 289, K0V, 1.226, 1.294, 5200, 1
NYVirginis, Virgo,  13.30, 26940, sdB, 0.619, 0.414, 33247, 1
HAT-P-3, UrsaMajor,  11.86, 460, K0V, 0.936, 0.825, 5185, 1
TauBoötis, Boötes,  4.50, 51, F7V, 1.321, 0.843, 6309, 1
Qatar-2, Virgo,  13.32, 680, K4V, 0.745, 0.713, 4645, 2
WASP-55]], Virgo,  11.81, 1061, G7V, 1.011, 1.055, 5878, 1
HD121504, Centaurus,  7.55, 147, G2V, 1.010, 1.066, 5834, 1
HAT-P-12, CanesVenatici,  12.84, 465, K4V, 0.735, 0.695, 4652, 1
WASP-23, Boötes,  12.68, 787, K1V, 0.843, 0.891, 5016, 1
HD122430, Hydra,  5.48, 439, K3III, 1.394, 22.859, 4260, 1
HAT-P-26, Virgo,  11.76, 436, K1V, 0.816, 0.788, 5079, 1
WASP-16, Virgo,  11.29, 783, G3V, 1.022, 0.946, 5547, 1
HD125612, Virgo,  8.33, 177, G3V, 1.099, 1.052, 5897, 3
HD125595, Centaurus,  9.03, 91, K4Vk, 0.757, 0.755, 4520, 1
WASP-20, Libra,  11.53, 841, G2V, 1.049, 1.033, 5831, 1
HD126614A, Virgo,  8.70, 237, K0IV, 1.154, 1.095, 5585, 1
HD126525, Lupus,  7.85, 124, G4V, 1.043, 1.025, 5633, 1
WASP-39, Virgo,  12.11, 759, G8V, 0.925, 0.895, 5398, 1
HIP70849, Lupus,  10.37, 77, K7Vk, 0.633, 0.626, 4283, 1
HD128311, Boötes,  7.51, 54, K0V, 0.804, 0.728, 4965, 2
AlphaCentauriB, Centaurus,  1.33, 4.36, K1V, 0.907, 0.865, 5260, 1
HD129445, Circinus,  8.81, 214, G8V, 0.990, 0.917, 5233, 1
HD130322, Virgo,  8.05, 103, K0V, 0.789, 0.833, 5260, 1
WASP-37, Virgo,  12.71, 1102, G2V, 0.849, 0.977, 5791, 1
HD131496, Boötes,  7.96, 359, K0III-IV, 1.610, 4.325, 4927, 1
HAT-P-27/WASP-40, Virgo,  12.21, 665, G8V, 0.905, 0.878, 5226, 1
HD132406, Boötes,  8.45, 221, G0V, 1.089, 1.058, 5885, 1
HD132563B, Boötes,  9.47, 314, G0V, 1.006, 0.987, 5985, 1
CFBDS1448, Boötes,  19.57, 69, T9.5, 0.024, 0.088, 531, 1
WASP-24, Virgo,  11.35, 1062, F9V, 1.129, 1.147, 6074, 1
HD134060, Circinus,  6.30, 79, G0V, 1.152, 1.182, 5944, 3
23Librae, Libra,  6.45, 85, G5V, 1.047, 1.206, 5559, 2
HD134606, Apus,  6.85, 86, G6IV, 1.062, 1.362, 5520, 2
WASP-58, Lupus,  10.44, 376, G8V, 0.922, 0.926, 5266, 1
11UrsaeMinoris, UrsaMajor,  5.02, 398, K4III, 1.746, 24.082, 4344, 1
HD136418, Boötes,  7.88, 320, G5III, 1.334, 3.444, 5071, 1
Gliese581, Libra,  10.56, 20, M3V, 0.311, 0.378, 3484, 4
HAT-P-4, Boötes,  11.02, 1007, F9V, 1.257, 1.592, 5857, 1
HD136352, Lupus,  5.65, 48, G4V, 0.996, 1.039, 5610, 3
IotaDraconis, Draco,  3.31, 101, K2III, 1.052, 13.499, 4445, 1
Lupus-TR-3, Lupus,  17.38, 8950, K1V, 0.867, 0.862, 5103, 1
WASP-53, Norma,  12.53, 215, K9V, 0.684, 0.635, 4110, 1
HD139357, Draco,  5.98, 385, K4III, 1.354, 11.470, 4703, 1
HD137388, Apus,  8.71, 128, K0.4V, 0.858, 0.822, 5240, 1
HD330075, Norma,  9.03, 162, G5IV, 0.946, 0.983, 6295, 1
KappaCoronaeBorealis, CoronaBorealis,  4.82, 99, K1IVa, 1.853, 4.731, 4921, 1
HD141937, Libra,  7.25, 105, G3V, 1.023, 1.056, 5821, 1
NNSerpentis, Serpens,  16.67, 1593, WD+M, 0.646, 0.692, 18858, 2
HD142245, Serpens,  7.63, 357, K0III, 1.689, 5.165, 4878, 1
HD142415, Norma,  7.34, 112, G1V, 1.089, 1.032, 5834, 1
WASP-17, Scorpius,  11.59, 1452, F6V, 1.196, 1.376, 6549, 1
HD143361, Norma,  9.20, 214, G0V, 0.955, 0.983, 5821, 1
XO-1, CoronaBorealis,  11.28, 666, G1V, 1.002, 0.928, 5824, 1
1RXS1609, Scorpius,  12.97, 472, K7V, 0.854, 1.351, 4062, 1
